greenwich_date,jd_ephem,observer,clamp,limb,ra_h,ra_m,ra_s,ra_o_minus_c,ra_limb_corr,limb_side,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,dec_limb_corr
1967 Mar. 19.99,39569.49257,Gv,E,1,6,28,22.725,+1.494,-.036,N,+,27,43,48.72,-0.17,-0.33
1967 Mar. 25.18,39574.68800,Rh,E,1,11,30,17.522,+1.438,-.004,N,+,7,21,07.43,-11.66,-0.73
1967 Mar. 27.26,39576.76055,Ga,E,2,13,22,55.485,+1.450,-.008,S,+,7,14,31.23,-11.11,+2.12
1967 Mar. 30.37,39579.87597,K1,E,2,16,21,25.276,+1.555,+.048,S,-,24,12,34.59,-5.68,-0.59
1967 Mar. 31.41,39580.91679,Ga,E,2,17,24,18.401,+1.658,+.039,,-,26,53,,,
1967 Apr. 1.45,39581.95745,Cr,E,2,18,26,57.695,+1.579,-.004,,-,27,47,,,
1967 Apr. 21.09,39601.59462,Gv,W,1,11,1,54.015,+1.427,-.012,,+,10,52,,,
1967 Apr. 23.16,39603.66577,Rh,W,,12,52,31.018,+1.406,+.014,,-,3,19,,,
1967 Apr. 24.20,39604.70227,KI,W,1,13,49,10.097,+1.478,+.046,,-,10,28,,,
1967 Apr. 28.36,39608.86481,To,W,2,17,59,38.319,+1.710,+.017,,-,27,40,,,
1967 Apr. 29.40,39609.90624,Ga,W,2,19,3,24.307,+1.608,-.036,,-,27,33,,,
1967 May. 19.04,39629.54029,Du,W,1,11,33,50.377,+1.360,-025,N,+,6,55,25.33,-10.21,-0.41
1967 May. 24.22,39634.72549,Cr,W,2,16,20,58.488,+1.682,+.017,S,-,24,12,48.75,-5.24,-0.49
1967 May. 26.31,39636.81139,Ga,W,2,18,32,53.940,+1.704,+.003,S,-,27,47,35.00,+0.87,+1.56
1967 May. 27.35,39637.85280,Du,W,2,19,36,37.852,+1.571,-.020,N,-,26,42,03.75,+2.48,+0.68
1967 Jun. 17.02,39658.52122,Cr,W,1,13,0,38.374,+1.355,+.008,N,-,4,32,58.93,-11.25,-0.60
1967 Jun. 21.17,39662.67275,Rh,W,1,16,55,12.921,+1.679,-.062,,-,25,54,01.64,-4.74,-0.56
1967 Jun. 27.40,39668.90050,To,W,2,22,47,43.535,+1.175,-.020,N,-,12,14,27.30,7.68,+0.32
1967 Jul. 17.04,39688.54213,Cr,W,1,15,29,06.647,+1.502,,N,-,20,50,54.18,-6.30,+1.19
1967 Jul. 22.24,39693.74464,Se,W,2,20,41,14.120,+1.436,-.051,S,-,23,28,12.40,+5.60,+0.97
1967 Jul. 23.27,39694.77997,Gv,W,2,21,36,11.484,+1.330,-.035,N,-,19,20,06.38,+7.41,+0.38
1967 Jul. 24.31,39695.81231,Cr,W,,22,26,49.731,+1.253,-.039,,-,14,22,,,
1967 Aug. 15.03,39717.53496,Rh,W,1,17,13,05.933,+1.686,+.061,,-,26,49,,,
1967 Aug. 16.07,39718.57621,La,W,1,18,16,36.673,+1.755,-.015,S,-,27,54,03.05,0.40,+1.76
1967 Aug. 20.22,39722.72481,Se,W,2,22,6,56.144,+1.244,-.041,,-,16,22,29.05,1-7.48,+0.30
1967 Aug. 22.28,39724.78432,To,W,2,23,40,44.782,+1.096,-.005,N,-,5,21,15.30,8.42,-0.13
1967 Sep. 16.13,39749.63915,Cr,W,1,21,49,41.936,+1.316,.000,,-,18,7,45.26,6.71,+0.41
1967 Sep. 18.19,39751.69931,KI,W,1,23,24,27.539,+1.202,.000,S,-,7,25,02.63,8.49,+0.10
1967 Sep. 19.22,39752.72721,Ga,W,2,0,8,40.645,+1.100,-.003,S,-,1,37,22.34,+8.73,+0.46
1967 Sep. 24.37,39757.87253,Ga,W,2,3,58,13.587,+1.219,-.022,,+,23,30,,,
1967 Sep. 25.40,39758.90674,To,W,2,4,51,34.496,+1.503,-.055,N,+,26,21,25.66,+2.75,+0.17
