greenwich_date,jd_ephem,observer,clamp,limb,ra_h,ra_m,ra_s,ra_o_minus_c,ra_limb_corr,limb_side,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,dec_limb_corr
1969 Jul. 31.30,40433.80219,Gv,W,2,22,41,52.253,+1.448,-.038,N,-,9,32,51.46,+10.39,+0.18
1969 Aug. 1.33,40434.83596,Ho,W,2,23,34,34.717,+1.375,-.021,N,-,2,37,14.23,9.26,+0.35
1969 Aug. 21.99,40455.49653,Rh,W,1,16,47,15.404,+1.855,-.003,,-,27,37,,,
1969 Aug. 23.04,40456.54068,Cr,W,1,17,54,57.331,+1.815,-.170,S,-,28,38,17.65,+0.78,+0.56
1969 Aug. 24.08,40457.58578,Rv,W,1,19,4,00.493,+1.874,-.081,,-,27,29,25.01,4.01,+1.01
1969 Aug. 25.12,40458.62963,Jo,W,,20,11,15.928,+1.726,-.114,S,-,24,14,04.87,+6.96,+1.17
1969 Aug. 26.17,40459.67073,KI,W,1,21,14,33.174,+1.632,-.014,S,-,19,13,35.14,+9.16,+0.77
1969 Aug. 27.20,40460.70867,Ho,W,,22,13,16.560,+1.485,-.010,S,-,12,59,48.91,+9.95,+0.41
1969 Aug. 30.30,40463.80961,Rv,W,2,0,50,51.268,+1.341,-.027,,+,7,44,,,
1969 Aug. 31.34,40464.84190,Ho,W,2,1,41,25.937,+1.379,-.019,N,+,13,57,42.37,+8.86,-0.10
1969 Sep. 1.37,40465.87480,Cs,W,2,2,32,52.368,+1.431,-.022,N,+,19,19,44.30,7.36,-0.48
1969 Sep. 22.07,40486.57884,Rh,,,20,48,19.755,+1.610,-.055,,-,21,32,48.60,+7.91,+1.14
1969 Sep. 23.11,40487.61692,KI,E,1,21,47,15.450,+1.581,-.007,S,-,15,56,32.70,+9.53,107 +0.78
1969 Sep. 24.15,40488.65244,Rh,E,1,22,42,28.760,+1.513,-.013,S,-,9,25,57.89,+10.68,-0.02
1969 Sep. 27.25,40491.75118,Cr,E 2,,1,16,53.019,+1.349,-.011 011,N,+,11,2,24.98,+9.35,-0.10
1969 Sep. 29.31,40493.81827,Ho,E,2,3,1,38.366,+1.461,-.074,N,+,21,49,09.19,+6.86,-0.64
1969 Sep. 30.35,40494.85353,KI,E,2,3,56,30.169,+1.453,-.038,,+,25,30,,,
1969 Oct. 1.38,40495.88975,Rh,E,2,4,52,44.767,+1.455,-049,,+,27,48,,,
1969 Oct. 3.46,40497.96239,Rh,E,2,,,,+1.444,+.007,,+,28,1,,,
1969 Oct. 18.99,40513.49128,Jo,W,1,20,28,20.225,+1.519,-.116,S,-,22,59,47.19,6.20,-0.99
1969 Oct. 20.02,40514.52929,Ho,W,1,21,27,09.611,+1.530,+.009,S,-,17,56,18.11,+8.01,+1.02
1969 Oct. 21.06,40515.56458,KI,W,1,22,22,04.207,+1.353,-.006,S,-,11,53,08.80,+10.24,+0.33
1969 Oct. 22.09,40516.59786,Cs,W,1,23,14,03.342,+1.395,-.010,S,-,5,15,42.87,+11.20,+0.30
1969 Oct. 24.16,40518.66184,Rh,,1,1,54,20.133,+1.339,-.010,,+,8,11,,,
1969 Oct. 25.19,40519.69424,Cs,W,1,1,45,03.376,+1.417,-.003,N,+,14,20,10.38,9.0,-0.02
1969 Oct. 26.22,40520.72776,Jo,,2,2,37,24.065,+1.469,+.009,N,+,19,40,36.51,+7.30,-0.54
1969 Oct. 27.26,40521.76269,Ho,W,2,3,31,47.056,+1.562,+.010,N,+,23,55,51.98,5.35,-0.36
1969 Oct. 30.37,40524.87248,Jo,,,7,6,22,,,N,+,28,18,41.01,-2.08,-0.52
1969 Oct. 31.40,40525.90807,Ho,W,2,7,17,28.265,+1.441,-.009,S,+,26,51,13.20,-3.28,-0.61
1969 Nov. 15.94,40541.44355,4054144355 Gs E 1 Cs,E,1,21,9,49.144,+1.575,-.044,S,-,19,22,20.41,+7.79,+0.73
1969 Nov. 16.97,40542.47948,Jo,E Jo E 1 22 05,,22,5,38.523,+1.454,-.012,,-,13,35,50.38,+10.06,+0.45
1969 Nov. 19.04,40544.54465,Ho,E,1,23,47,36.833,+1312,-.003,,-,0,33,40.57,+10.47,+0.74
1969 Nov. 21.10,40546.60726,Du,E,1,1,25,54.618,+1.370,-.011,S,+,12,11,34.10,+8.95,-0.22
1969 Nov. 22.13,40547.63972,Jo,E,,2,16,43.679,+1389,-.004,S,+,17,43,58.63,+7.80,+0.09
1969 Nov. 23.17,40548.67367,Ho,E,1,3,9,41.658,+1.482,-.048,,+,22,20,,,
1969 Nov. 25.24,40550.74586,Cr,E,2,5,1,48.549,+1.545,-.020,N,+,27,48,12.27,+1.52,-0.01
1969 Nov. 29.38,40554.88639,Cs,E,,8,40,30.217,+1.281,-.006,N,+,21,43,26.91,7.01,+0.25
1969 Nov. 30.41,40555.91717,Cr,E,2,9,28,52.781,+1.228,-.038,,+,17,23,18.85,-10.17,-0.73
1969 Dec. 2.47,40557.97486,Du,E,2,11,0,04.708,+1.216,+.011,S,+,6,44,00.44,-11.03,+2.19
1969 Dec. 14.92,40570.42768,Cs,W CsW122 41.,,22,41,13.892,+1.378,-.029,S,,,,,+10.24,+0.03
1969 Dec. 15.96,40571.46030,Ho,W,1,23,32,16.683,+1345,-.008,S,,,,,+10.67,+0.79
1969 Dec. 16.99,40572.49168,Cs,W,1,0,21,31.309,+1338,+.001,S,+,4,17,08.85,+9.86,+0.70
1969 Dec. 18.02,40573.52280,KI,W,1,1,10,24.712,+1.326,-.014,S,+,10,33,27.51,+9.55,-0.36
1969 Dec. 20.08,40575.58753,Jo,W,,2,51,46.008,+1.431,-.013,,+,21,3,,,
1969 Dec. 23.19,40578.69470,Du,W,1,5,38,20.628,+1564,-.049,N,+,28,16,59.30,+0.53,+0.24
1969 Dec. 25.26,40580.76642,Ho,W,2,7,29,46.731,+1.416,-.019,N,+,25,58,28.70,-5.98,+0.09
1970 Jan. 1.47,40587.97409,Ho,W,2,12,57,14.685,+1.209,+.009,,+,9,5,,,
1970 Jan. 17.03,40603.53654,Jo,E,1,3,28,31.949,+1.455,-.082,,+,23,57,,,
1970 Jan. 28.38,40614.88860,Ho,E,2,12,40,15.165,+1.186,.000,S,-,7,9,47.64,-9.99,+1.83
1970 Jan. 31.48,40617.98595,Ja,,,14,15,12,,,S,-,22,59,26.59,-7.32,+1.29
1970 Feb. 13.98,40631.48520,Cn,,1,4,4,46.983,+1.506,-.062,,+,26,7,,,
1970 Feb. 18.12,40635.62842,Cr,W,1,7,47,21.296,+1.389,+.117,N,+,25,7,17.71,-5.28,+0.02
1970 Feb. 21.22,40638.72101,Br,W,1,10,12,52.617,+1.191,+.023,N,,,,,-9.73,-0.75
1970 Feb. 22.24,40639.74918,Cs,W,2,10,57,30.009,+1.188,-0185,,+,6,31,51.87,-9.93,+1.96
1970 Feb. 24.30,40641.80500,40641.80500 Cs W 2 Cs,W,2,12,25,58.904,+1.163,-.004,S,-,5,21,58.98,-10.68,+1.79
1970 Feb. 25.33,40642.83414,Ja,W,2,13,12,00.161,+1.253,+.002,S,-,11,14,38.26,-11.19,+1.73
1970 Feb. 27.39,40644.89891,Jo,W,2,14,53,25.211,+1.436,+.054,S,-,21,36,53.25,-8.23,+1.24
1970 Feb. 28.43,40645.93591,Ho,W,2,15,50,47.489,+1.634,+.017,S,-,25,27,18.36,-6.31,+0.74
1970 Mar. 17.04,40662.54161,Du,E,1,7,28,27.942,+1.521,+.042,,+,26,6,09.31,-4.30,+0.06
1970 Mar. 18.07,40663.57491,Zn,E,,8,20,28.938,+1.456,.000,N,+,23,0,25.78,7.40,-0.31
1970 Mar. 24.24,40669.74983,Cr,,2,12,56,42.782,+1.243,-.003,S,-,9,19,13.71,-11.03,+1.83
1970 Mar. 25.28,40670.78059,Jo,E,2,13,45,04.231,+1.346,+009,S,-,15,2,29.11,-9.38,+0.21
1970 Mar. 26.31,40671.81375,Ja,,2,14,36,54.208,+1.566,-.014,S,-,20,10,35.50,-8.64,+1.37
1970 Mar. 27.34,40672.84986,Cn,E,2,15,32,59.071,+1.614,-.008,,-,24,22,,,
1970 Mar. 30.47,40675.97313,Ho,E,2,18,42,48.644,+1.817,-.072,,-,27,43,,,
1970 Apr. 16.04,40692.54966,Du,,1,9,38,21.576,+1.296,+.060,N,+,15,55,30.32,-8.96,-0.14
1970 Apr. 19.13,40695.63476,Rh,W,1,11,53,03.549,+1.236,-.015,N,,,,,-10.35,-0.30
1970 Apr. 22.22,40698.72686,Ja,W,2,14,17,52.843,+1.489,-.006,S,-,18,21,37.34,-9.37,+0.95
1970 Apr. 23.26,40699.76262,Cn,W,2,15,13,28.246,+1.567,-.012,S,-,22,58,48.92,-7.22,+1.50
1970 May. 13.99,40720.49176,Zn,E,1,10,5,08.468,+1.179,+.042,N,+,12,42,34.83,-9.25,-0.49
1970 May. 19.13,40725.63744,Hd,,,14,13,55,,,N,-,16,8,20.05,-8.19,+0.78
1970 May. 20.17,40726.67229,Ho,E,,14,49,29.309,+1.534,+.072,S,-,21,9,25.40,-7.97,+1.40
1970 May. 21.21,40727.71064,Cr,E,1,15,48,47.960,+1.657,+.023,S,,,,,-6.63,+0.74
1970 May. 23.29,40729.79582,Ja,E,2,17,59,41.536,+1.897,-.045,S,-,28,5,30.05,0.83,+0.41
1970 May. 27.45,40733.95623,Ho,E,2,22,7,04.119,+1.528,+.025,N,-,12,21,06.01,9.55,+0.04
1970 Jun. 14.01,40751.51716,Hd,=,,13,12,44,,,N,-,8,4,52.42,9.41,-0.15
1970 Jun. 15.04,40752.54746,Ga,W,1,13,31,44.761,+1363,+.021,N,-,13,47,23.49,-7.96,+0.34
1970 Jun. 22.33,40759.83110,Ja,W,2,20,48,54.512,+1.706,+.035,N,-,20,5,19.26,+8.49,+0.38
1970 Jun. 23.36,40760.86925,Cn,W,2,21,47,55.723,+1.551,+.021,,-,14,16,,,
1970 Jun. 24.40,40761.90461,Ja,W,2,22,42,55.836,+1.438,-.029,N,-,7,42,35.53,+9.36,+0.34
1970 Jul. 17.14,40784.64822,Rh,E,1,18,3,24.404,+1.826,-.150,,-,28,2,,,
1970 Jul. 19.23,40786.73667,Cn,E,2,20,19,00.528,+1.785,+.004,,-,22,23,,,
1970 Jul. 12.00,40810.50951,Go,W,1,16,25,37.296,+1.665,+.023,,-,26,59,,,
1970 Aug. 13.05,40811.55148,Ku,W,,17,30,09.612,+1.696,-.071,S,-,28,13,17.76,-1.07,+0.18
1970 Aug. 16.18,40814.68127,Go,W,1,20,49,24.066,+1.696,-.077,S,-,19,57,46.80,+8.99,+0.74
1970 Aug. 22.39,40820.89877,Ku,W,2,2,27,06.608,+1.424,-.047,N,+,19,44,18.94,+6.68,-0.05
1970 Sep. 12.08,40841.58557,Rh,E,1,20,17,40.139,+1.699,-.066,,-,22,30,05.55,+6.66,+0.77
1970 Sep. 13.12,40842.62548,Ja,E,1,21,19,14.152,+1.634,-.051,S,-,17,9,18.52,+9.87,+0.77
1970 Sep. 14.16,40843.66340,Ga,E,1,22,17,55.644,+1.602,-.022,S,-,10,36,42.81,+11.15,+0.52
1970 Sep. 15.19,40844.69974,Hd,E,1,23,14,21.045,+1.503,+.014,,-,3,23,,,
1970 Sep. 16.23,40845.73528,Go,E,2,0,9,36.220,+1.439,+.007,,+,3,59,,,
1970 Sep. 17.27,40846.77084,Ku,E,2,1,4,53.749,+1.522,+.017,,+,11,1,,,
1970 Sep. 20.38,40849.88308,Ga,E,2,3,58,47.541,+1.611,-.019,N,+,25,53,03.62,+4.02,-0.25
1970 Sep. 21.42,40850.92206,Zn,E,2,4,59,01.027,+1.564,-.013,N,+,27,49,37.94,+0.88,+0.03
1970 Sep. 22.46,40851.96054,Hd,E,2,5,58,31.595,+1.639,+.010,,+,28,7,,,
1970 Oct. 7.95,40867.45391,Hd,E,1,18,50,03.698,+1.718,-.035,,,,,,,+1.98
1970 Oct. 11.07,40870.57100,Ku,,,21,50,57.919,+1.614,-.081,,-,13,40,34.92,+9.63,+0.80
1970 Oct. 12.10,40871.60686,Du,E,1,22,46,40.787,+1558,+.018,S,-,6,56,39.06,+10.53,+0.12
1970 Oct. 13.14,40872.64192,Hd,E,1,23,41,15.430,+1.559,+.018,,+,0,14,27.80,+11.63,+0.70
1970 Oct. 14.17,40873.67704,Ja,E,1,0,35,54.682,+1.559,+.014,S,+,7,24,40.68,+11.02,+0.73
1970 Oct. 17.28,40876.78932,Jo,E,,3,29,51.532,+1.721,-.034,N,+,24,13,26.16,+5.52,-0.42
1970 Oct. 18.32,40877.82926,Ga GaE2,,2,4,31,28.430,+1.734,-.001,N,+,26,59,39.51,4.27,+0.04
1970 Oct. 19.36,40878.86917,Ku,E,2,5,33,02.829,+1.688,+.013,z,+,28,1,19.27,-0.08,+0.28
1970 Oct. 20.40,40879.90781,Du,E,2,6,32,47.120,+1.594,+.033,,+,27,22,,,
1970 Nov. 6.98,40897.48335,,W,1,21,30,51.316,+1.567,-.049,S,-,15,37,06.62,+9.04,+1.09
1970 Nov. 8.01,40898.51845,Go,W,1,22,25,28.143,+1.415,-.017,,-,9,23,25.33,+11.85,+0.38
1970 Nov. 9.05,40899.55247,Hd,W,1,23,18,32.252,+1.469,+.032,S,-,2,36,11.74,+10.80,+0.58
1970 Nov. 10.08,40900.58630,Rh,W,1,0,11,19.898,+1.520,+.016,,+,4,21,28.04,+11.76,+0.77
1970 Nov. 17.35,40907.85328,Ja,W,2,7,4,26.428,+1.542,+.016,,+,26,8,,,
1970 Nov. 18.38,40908.88885,Ku,W,2,,,,+1.485,+.050,S,+,23,14,54.96,-8.50,-0.35
1970 Nov. 21.48,40911.98045,Hd,W,2,10,23,49.728,+1.217,-.014,,+,9,27,,,
1970 Dec. 7.00,40927.50015,Ku,W,1,23,53,22.795,+1.404,+.012,,+,2,15,,,
1970 Dec. 8.03,40928.53341,Ro,W,1,0,45,20.857,+1.490,+.010,,+,8,54,,,
1970 Dec. 9.06,40929.56777,Cn,W,,1,38,54.852,+1.543,-.026,S,+,15,3,29.33,+8.96,-0.45
1970 Dec. 15.29,40935.79827,Ja,W,2,7,35,24.060,+1.486,+042,S,+,24,30,07.37,-5.89,-1.13
1970 Dec. 16.33,40936.83257,Go,W,2,8,28,51.421,+1353,+.015 5,,+,20,55,55.70,-5.39,+1.44
1970 Dec. 19.42,40939.92143,Ja,W,2,10,48,59.322,+1.147,-001,,+,6,0,12.06,-9.65,+1.29
1971 Jan. 6.01,40957.51747,Go,,1,2,16,40.502,+1.747,-.013,,+,18,57,,,
1971 Jan. 8.09,40959.59266,Ga,E,1,4,13,07.560,+1.663,-.081,,+,26,19,,,
1971 Jan. 10.17,40961.67112,Jo,E,1,6,14,18.709,+1.689,+.045,,+,27,25,,,
1971 Jan. 12.24,40963.74396,Go,E,2,8,7,22.366,+1.462,+.031,N,+,22,26,49.86,-5.86,0.11
1971 Jan. 16.36,40967.86275,Sm,E,2,11,14,39.701,+1.120,-.019,,+,2,28,36.91,-9.73,+1.68
1971 Jan. 18.41,40969.91725,Hd,E,2,12,41,14.473,+1.217,-.007,S,-,8,45,15.72,-9.21,+1.57
1971 Jan. 19.44,40970.94599,Go,E,2,13,26,41.102,+1.312,-.005,,-,14,3,56.67,-9.35,+1.03
1971 Jan. 20.47,40971.97682,Ga,E,2,14,15,09.156,+1.480,+033,S,-,18,54,44.66,-8.44,+0.33
1971 Mar. 6.03,41016.53563,Jo,W,1,6,35,31.017,+1.625,+.030,,+,26,58,,,
1971 Mar. 7.07,41017.57182,Ku,W,,7,31,42.783,+1.495,+056,N,+,24,39,49.78,-6.23,-0.13
1971 Mar. 8.10,41018.60555,Hd,W,1,8,24,20.928,+1.399,+.054,N,+,21,11,25.57,-6.69,+0.27
1971 Mar. 9.13,41019.63689,Hd,W,1,9,13,32.822,+1.323,+080,N,+,16,49,25.71,-8.70,-0.06
1971 Mar. 10.16,41020.66626,Ku,W,1,9,59,53.648,+1.173,+043,N,+,11,49,09.57,-9.77,-0.41
1971 Mar. 12.22,41022.72145,Ro,W,2,11,27,28.521,+0.975,-.007,S,+,0,46,24.36,-10.56,+1.57
1971 Mar. 14.27,41024.77635,Jo,W,2,12,54,37.681,+1.195,-.007,S,-,10,22,31.51,-8.79,+1.21
1971 Mar. 16.33,41026.83627,Ku,W,2,14,29,02.587,+1.449,-.006,S,-,20,4,50.02,-6.88,+0.73
1971 Mar. 17.36,41027.86956,Sm,,,15,15,21,,,S,-,23,49,14.35,-6.56,+1.41
1971 Mar. 18.40,41028.90543,Go,W,,16,16,16,,,S,-,26,27,17.50,-3.85,+0.01
1971 Apr. 4.01,41045.51990,Ga,E,1,8,7,08.053,+1.450,+.075,N,+,22,19,04.82,-5.90,+0.16
1971 Apr. 5.05,41046.55214,Rh,E,1,8,57,37.741,+1.383,+.086,N,+,18,13,00.59,-7.55,-0.06
1971 Apr. 8.13,41049.63778,Du,E,1,11,13,06.453,+1.194,010,N,+,2,36,55.46,-8.09,+0.39
1971 Apr. 9.16,41050.66491,Go,E,1,11,56,13.210,+1.1.71,-.024,N,-,3,1,02.94,-8.19,+0.75
1971 Apr. 10.19,41051.69250,Ku,E,1,12,40,00.145,+1.303,-.002,,,,,,,
1971 Apr. 11.22,41052.72122,Sin,E,2,13,25,25.384,+1.255,-.001,,-,13,50,15.20,-9.20,+0.63
1971 Apr. 12.25,41053.75170,Hd,E,2,14,13,22.733,+1.381,+.005,S,-,18,36,31.68,-7.84,+0.01
1971 Apr. 13.28,41054.78442,Cn,E 2,,15,4,33.575,+1.430,-.005,S,-,22,37,35.81,-5.91,+1.24
1971 Apr. 15.35,41056.85695,Jo,E,2,16,57,10.699,+1.652,-.053,,,,,,-0.61,+0.23
1971 Apr. 16.39,41057.89581,Ro,E,2,17,57,14.511,+1.718,-.060,,-,27,25,,,
1971 Apr. 17.43,41058.93510,Cп,E,2,18,57,54.645,+1.637,-.134,,-,25,55,,,
1971 May. 1.96,41073.46536,Co,W,1,8,38,46.405,+1.424,+.071,N,+,19,37,29.45,-8.08,+0.29
1971 May. 5.05,41076.55327,Ku,W,1,10,57,32.010,+1.165,.022,N,+,4,25,54.52,-8.73,+0.38
1971 May. 9.16,41080.66619,Sm,W,1,13,56,20.761,+1.281,+.005,N,-,17,1,30.22,-7.91,+0.50
1971 May. 10.19,41081.69842,Hd,W,1,14,46,49.977,+1.485,+.063,,-,21,19,08.66,-6.76,+1.16
1971 May. 11.23,41082.73319,Jo,W,2,15,40,58.810,+1.553,-.007,,-,24,40,04.57,5.07,+1.58
1971 May. 12.27,41083.77036,Ja,,,16,16,38,,,S,-,26,46,16.86,2.60,+0.43
1971 May. 15.38,41086.88751,Cn,W,2,19,39,35.603,+1.611,-.040,,-,23,40,,,
1971 Jun. 6.11,41108.61073,Rh,,,15,14,26,,,N,-,19,49,55.90,-6.47,+0.36
1971 Jun. 7.14,41109.64471,Co,E,,15,19,40.725,+1.552,+.030,,-,23,33,,,
1971 Jun. 9.22,41111.72036,Ro,E,2,17,16,48.301,+1.679,-.052,,-,27,16,42.94,4.75,-0.49
1971 Jun. 10.26,41112.76046,Go,E,2,18,18,38.280,+1.714,-.075,,-,26,46,12.95,+2.86,+1.13
1971 Jun. 11.30,41113.80030,Cn,E,2,19,20,06.782,+1.794,.000,N,-,24,33,50.55,+4.97,-0.03
1971 Jun. 13.37,41115.87530,Jo,E,2,21,16,17.499,+1.560,+.101,N,-,15,46,50.71,8.80,-0.12
1971 Jul. 4.05,41136.55492,Sm,E,1,14,56,28.846,+1.509,+.062,N,-,22,12,41.77,-4.89,+0.34
1971 Jul. 5.09,41137.59037,Ro,E,1,15,51,36.135,+1.588,4.023,N,-,25,16,37.62,-2.85,+0.50
1971 Jul. 6.12,41138.62851,Co,E,,16,50,37.891,+1.781,+.043,,-,27,2,19.10,-1.75,+0.73
1971 Jul. 7.16,41139.66860,Sm,E,1,17,52,27.551,+1.762,-.122,,-,27,12,41.67,-0.10,+0.27
1971 Jul. 8.20,41140.70931,Cn,,,19,18,55,,,,-,25,38,26.86,3.36,+2.67
1971 Jul. 9.24,41141.74923,Ku,,2,19,56,45.618,+1.661,-.021,S,-,22,22,18.88,5.54,+0.16
1971 Jul. 12.35,41144.85834,Jo,E,2,22,46,08.474,+1.535,+.127,,-,5,18,,,
1971 Jul. 13.39,41145.89218,Go,E,,23,38,56.400,+1.529,+.106,N,+,1,28,39.59,+10.72,+0.41
1971 Aug. 6.19,41169.69514,Ho,W,1,20,29,03.173,+1.665,-.091,S,-,19,58,34.73,+7.24,+0.74
1971 Aug. 7.23,41170.73302,Co,W,2,21,27,41.524,+1.645,+.132,N,-,14,28,32.51,+10.30,-0.11
1971 Aug. 8.26,41171.76929,Sm,W,,22,24,00.564,+1.530,+.142,,,,,,,
1971 Aug. 11.37,41174.87470,4117487470 C.W2 Cr,W,2,1,8,02.343,+1.602,+.047,N,+,12,26,55.68,+9.18,-0.32
1971 Aug. 31.02,41194.52130,Ku,E,1,17,56,35.947,+1586,-.054,,-,27,10,03.85,+0.86,+0.04
1971 Sep. 1.06,41195.56095,Cr,E,1,18,57,47.920,+1.743,+.018,S,-,25,31,46.14,+4.86,+2.41
1971 Sep. 3.13,41197.63884,Ho,E,1,20,58,08.932,+1.678,-.080,S,-,17,24,29.40,+7.94,+0.24
1971 Sep. 4.17,41198.67605,Jo,E,1,21,55,49.215,+1.641,-.039,S,-,11,22,41.05,+10.31,+0.50
1971 Sep. 5.21,41199.71229,Co,E,1,22,52,05.302,+1.610,+.020,N,,,,,+10.94,+0.33
1971 Sep. 6.24,41200.74817,Sm,E,2,23,47,50.434,+1.567,+.110,,+,2,37,,,
1971 Sep. 7.28,41201.78445,Ro,E,2,0,44,10.798,+1.630,+.070,N,+,9,38,12.07,+11.61,+0.25
1971 Sep. 8.32,41202.82185,Ja,,,1,42,07.671,+1.651,+.003,N,+,15,58,59.87,+8.84,+0.02
1971 Sep. 9.36,41203.86080,Du,41203.86080 Du E 2 2 42 18.605 E,,2,42,18.605,+1.694,+.014,N,,,,,6.81,-0.13
1971 Sep. 10.40,41204.90122,Hd,E,2,3,44,36.917,+1.772,-.002,,+,24,57,,,
1971 Sep. 29.00,41223.50755,Ku,W,1,19,31,04.899,+1.662,+.011,S,,,,,+4.80,-0.02
1971 Sep. 30.04,41224.54523,Rh,W,,20,29,26.442,+1.643,-.054,S,-,19,47,15.77,+8.08,+0.80
1971 Oct. 7.30,41231.80828,Go,W,2,3,16,52.262,+1.833,-.075,,+,23,20,,,
1971 Oct. 8.35,41232.85084,Hd,W,2,4,22,15.488,+1.884,+.016,N,+,26,10,51.16,+1.84,-0.21
1971 Oct. 11.47,41235.97228,Ku,W,2,7,29,26.036,+1.527,+.028,,+,23,46,,,
1971 Oct. 29.02,41253.52643,Go,E,1,21,56,36.845,+1.505,-.037,S,-,10,58,11.55,+10.15,+0.48
1971 Nov. 1.13,41256.63199,Ja,E,1,0,40,51.955,+1.622,+.020,S,+,9,14,20.97,+10.52,+0.30
1971 Nov. 3.21,41258.71087,Ja,E,2,2,42,39.745,+1.815,+.068,N,,,,,+7.10,-0.47
1971 Nov. 4.25,41259.75382,Go,E,2,3,48,36.937,+1.898,-.006,N,+,24,48,40.37,+4.29,-0.24
1971 Nov. 5.29,41260.79782,Jo,,2,4,56,05.673,+1.878,-.041,N,,,,,+1.42,+0.01
1971 Nov. 6.34,41261.84104,DuE2,E,2,6,2,26.628,+1.837,+.015,N,,,,,-1.68,-0.10
1971 Nov. 8.41,41263.91913,Ro,E,2,8,3,05.148,+1.547,+.053,S,+,21,24,13.23,-7.01,-1.24
1971 Nov. 9.45,41264.95308,95308 Hd E 2 Hd,E,2,8,56,02.999,+1.420,+.015,S,+,17,6,21.79,-8.32,+0.54
1971 Nov. 25.97,41281.47296,Rh,W,1,22,29,48.455,+1.443,+.002,S,-,6,46,42.17,+10.43,+0.39
1971 Nov. 28.04,41283.54037,Go,W,,1,15,01.769,+1.481,+.021,,,,,,+10.93,+0.34
1971 Nov. 29.07,41284.57621,Ro,W,1,1,10,42.892,+1.612,+.017,S,+,12,45,48.81,+9.51,+0.16
1971 Dec. 1.15,41286.65573,Rh,W,1,3,13,26.079,+1.877,-.010,N,+,23,1,45.99,+5.75,-0.46
1971 Dec. 2.19,41287.69921,Go,W.,1,4,20,09.267,+1.896,-.101,N,+,25,53,12.32,+2.54,-0.36
1971 Dec. 5.32,41290.82648,Ku,W,2,7,35,45.397,+1.603,+.058,S,+,22,55,40.60,-6.49,-0.94
1971 Dec. 6.36,41291.86299,Ro,W,2,8,32,24.675,+1.426,+.005,S,+,18,54,59.01,-8.43,-0.03
1971 Dec. 28.06,41313.56275,Go,W,,2,45,37.912,+1.751,-.072,,+,21,22,42.51,6.93,+0.02
1971 Dec. 29.10,41314.60397,Hd,W,1,3,49,04.936,+1.824,-.095,,+,24,52,,,
1971 Dec. 31.19,41316.69016,K1,W,1,6,1,25.623,+1.782,-.040,N,+,26,26,45.10,-2.15,-0.11
