# Transit circle observations — USNO 6-inch, Washington D.C.
# Sun observations:  745
# Moon observations: 515
# Total:             1260
# JD range: 2438096.65932 – 2441316.69016
#
# Columns:
#  1  JD_UTC          Julian date (UTC)
#  2  body            S=Sun  M=Moon
#  3  RA   (deg)      right ascension (apparent, of date)
#  4  Dec  (deg)      declination (apparent, of date)
#  5  dist (AU)       geocentric distance (0 = not available)
     2438370.95634  M    162.714342    +12.144078   0.0000000E+00
     2438371.20804  S    253.572450    -22.583667   9.8511200E-01
     2438371.98774  M    175.036433     +7.544375   0.0000000E+00
     2438386.21298  S    270.142254    -23.443436   9.8365800E-01
     2438386.43984  M    352.038850     -8.775086   0.0000000E+00
     2438390.57940  M     46.360771    +12.989131   0.0000000E+00
     2438391.61904  M     61.025000    +17.554078   0.0000000E+00
     2438392.66111  M     77.827258    +20.929092   0.0000000E+00
     2438399.21735  S    284.534175    -22.770453   9.8327400E-01
     2438399.93102  M    182.159221     +4.729033   0.0000000E+00
     2438400.96080  M    193.893513     -0.205261   0.0000000E+00
     2438402.21828  S    287.826712    -22.431578   9.8333000E-01
     2438413.22122  S    299.728796    -20.634364   9.8387500E-01
     2438416.45549  M     27.257721     +5.833803   0.0000000E+00
     2438417.49068  M     40.945413    +11.128625   0.0000000E+00
     2438420.60891  M     86.581862    +22.106883   0.0000000E+00
     2438421.65165  M    102.995892    +22.981597   0.0000000E+00
     2438424.22316  S    311.269237    -18.052339   9.8494800E-01
     2438425.22328  S    312.298437    -17.783086   9.8508000E-01
     2438425.80848  M    163.550954    +11.859256   0.0000000E+00
     2438428.90250  M    200.447746     -3.072792   0.0000000E+00
     2438429.93198  M    212.075692     -7.832175   0.0000000E+00
     2438430.22374  S    317.393000    -16.360072   9.8582100E-01
     2438430.96164  M    223.767008    -12.198253   0.0000000E+00
     2438431.22380  S    318.401854    -16.060822   9.8598400E-01
     2438446.22370  S    333.148588    -11.082239   9.8881100E-01
     2438446.47967  M     65.554921    +18.701697   0.0000000E+00
     2438447.51955  M     80.935946    +21.559686   0.0000000E+00
     2438448.22354  S    335.063288    -10.360703   9.8923700E-01
     2438448.56070  M     96.777158    +22.966108   0.0000000E+00
     2438449.60209  M    112.705617    +22.786911   0.0000000E+00
     2438450.64253  M    128.287621    +21.066822   0.0000000E+00
     2438451.68105  M    143.179729    +18.017822   0.0000000E+00
     2438455.81390  M    195.076458     -0.970211   0.0000000E+00
     2438456.84391  M    206.897875     -5.946989   0.0000000E+00
     2438457.22249  S    343.553396     -6.999089   9.9135400E-01
     2438460.96766  M    255.511112    -20.840797   0.0000000E+00
     2438465.22118  S    350.966146     -3.895325   9.9346000E-01
     2438466.22099  S    351.886158     -3.502475   9.9373000E-01
     2438468.22062  S    353.721763     -2.714997   9.9427300E-01
     2438471.22004  S    356.468129     -1.530475   9.9508900E-01
     2438478.21860  S      2.847933     +1.234367   9.9700900E-01
     2438479.21838  S      3.757571     +1.628078   9.9728800E-01
     2438479.62940  M    152.130796    +15.652150   0.0000000E+00
     2438481.21796  S      5.575529     +2.412631   9.9785200E-01
     2438481.69552  M    177.969542     +6.228658   0.0000000E+00
     2438482.21775  S      6.484687     +2.804311   9.9813600E-01
     2438483.75649  M    201.950263     -4.020761   0.0000000E+00
     2438485.81667  M    225.644717    -13.285506   0.0000000E+00
     2438487.87958  M    250.326450    -20.127153   0.0000000E+00
     2438489.94670  M    276.527238    -23.337967   0.0000000E+00
     2438491.21588  S     14.681633     +6.272097   1.0007580E+00
     2438502.21387  S     24.798233    +10.308161   1.0038930E+00
     2438509.21284  S     31.326250    +12.705522   1.0057680E+00
     2438510.67115  M    197.758113     -2.203803   0.0000000E+00
     2438512.21248  S     34.151604    +13.682264   1.0065590E+00
     2438512.73064  M    221.204583    -11.792997   0.0000000E+00
     2438520.21177  S     41.780654    +16.115619   1.0086230E+00
     2438521.21171  S     42.744983    +16.400742   1.0088720E+00
     2438522.21166  S     43.711654    +16.681478   1.0091200E+00
     2438523.21161  S     44.680425    +16.957522   1.0093640E+00
