greenwich_date,jd_ephem,observer,clamp,ra_h,ra_m,ra_s,ra_o_minus_c,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,distance_au
1966 Aug. 24.71,39362.21571,He,E,10,12,28.878,+0.017,+,11,5,35.50,-0.70,1.010854
1966 Aug. 26.71,39364.21533,Du,E,10,19,49.014,+0.096,+,10,24,,,1.010406
1966 Aug. 27.71,39365.21513,Rh,E,10,23,28.364,+0.036,+,10,3,14.18,-0.82,1.010178
1966 Aug. 28.71,39366.21493,Rh,E,10,27,07.471,+0.129,+,9,42,08.71,+0.13,1.009949
1966 Aug. 30.71,39368.21451,Ga,E,10,34,24.294,+0.016,+,8,59,28.42,-0.14,1.009484
1966 Aug. 31.71,39369.21430,Gy,E,10,38,02.265,+0.023,+,8,37,56.33,+0.79,1.009249
1966 Sep. 1.71,39370.21408,He,E,10,41,39.973,+0.091,+,8,16,13.72,-0.51,1.009013
1966 Sep. 6.71,39375.21294,To,E,10,59,44.136,+0.001,+,6,25,,,1.007809
1966 Sep. 7.71,39376.21271,To,E,11,3,20.393,+0.059,,,,,-0.64,1.007562
1966 Sep. 9.71,39378.21223,To,E,11,10,32.316,+0.086,+,5,18,20.85,-1.16,1.007063
1966 Sep. 16.71,39385.21053,Du,W,11,35,40.445,+0.070,+,2,37,50.08,-0.73,1.005223
1966 Sep. 17.71,39386.21028,Gv,W,11,39,15.699,+0.107,,,,,-0.55,1.004948
1966 Sep. 30.70,39399.20715,Ga,W,12,25,59.981,+0.108,,,,,-1.85,1.001247
1966 Oct. 3.70,39402.20649,Gv,W,12,36,51.798,+0.100,-,3,58,21.66,+0.97,1.000397
1966 Oct. 4.70,39403.20627,Du,W,12,40,29.645,+0.021,-,4,21,33.21,-0.54,1.000115
1966 Oct. 5.70,39404.20606,Du,W,12,44,08.022,+0.096,-,4,44,40.03,-0.39,0.999833
1966 Oct. 6.70,39405.20585,KI,W,0,12,47,,-,5,7,44.59,-1.30,0.999553
1966 Oct. 7.70,39406.20565,Gv,W,12,51,25.708,+0.005,-,5,30,43.13,+0.08,0.999273
1966 Oct. 11.70,39410.20490,Ga,W,13,6,06.562,+0.038,-,7,1,59.25,-0.82,0.998149
